shape,interval,block_size,format,run,blocks,decompressed_bytes,on_disk_data_bytes,index_bytes,file_bytes,entries,forward_ns_per_entry,reverse_ns_per_entry,reverse_p99_ns,cache_hits,cache_misses
prefix-heavy,16,4096,legacy,1,2138,8786246,1294805,109730,1548393,120000,18.63,66.11,667,4276,0
prefix-heavy,16,4096,delta,1,1059,4353473,873671,54661,1072206,120000,34.24,91.04,541,2118,0
prefix-heavy,16,4096,legacy,2,2138,8786246,1294805,109730,1548393,120000,19.30,79.25,708,4276,0
prefix-heavy,16,4096,delta,2,1059,4353473,873671,54661,1072206,120000,39.99,88.29,500,2118,0
prefix-heavy,16,4096,legacy,3,2138,8786246,1294805,109730,1548393,120000,17.79,76.82,708,4276,0
prefix-heavy,16,4096,delta,3,1059,4353473,873671,54661,1072206,120000,28.76,85.34,500,2118,0
prefix-heavy,16,4096,legacy,4,2138,8786246,1294805,109730,1548393,120000,16.74,65.42,625,4276,0
prefix-heavy,16,4096,delta,4,1059,4353473,873671,54661,1072206,120000,32.59,90.64,500,2118,0
prefix-heavy,16,8192,legacy,0,1069,8778270,1209123,54745,1407726,120000,17.45,66.68,125,2138,0
prefix-heavy,16,8192,delta,0,527,4325047,803541,27248,974663,120000,33.01,91.58,541,1054,0
prefix-heavy,16,8192,legacy,1,1069,8778270,1209123,54745,1407726,120000,17.04,63.22,125,2138,0
prefix-heavy,16,8192,delta,1,527,4325047,803541,27248,974663,120000,32.04,87.44,500,1054,0
prefix-heavy,16,8192,legacy,2,1069,8778270,1209123,54745,1407726,120000,17.79,64.31,125,2138,0
prefix-heavy,16,8192,delta,2,527,4325047,803541,27248,974663,120000,28.95,85.86,500,1054,0
prefix-heavy,16,8192,legacy,3,1069,8778270,1209123,54745,1407726,120000,20.14,76.96,167,2138,0
prefix-heavy,16,8192,delta,3,527,4325047,803541,27248,974663,120000,44.69,157.94,1041,1054,0
prefix-heavy,16,8192,legacy,4,1069,8778270,1209123,54745,1407726,120000,18.38,66.65,125,2138,0
prefix-heavy,16,8192,delta,4,527,4325047,803541,27248,974663,120000,28.97,111.21,542,1054,0
prefix-heavy,16,16384,legacy,0,535,8775870,1163897,27784,1335539,120000,17.27,76.46,125,1070,0
prefix-heavy,16,16384,delta,0,264,4313787,769394,13700,926968,120000,30.72,96.02,541,528,0
prefix-heavy,16,16384,legacy,1,535,8775870,1163897,27784,1335539,120000,15.33,58.83,83,1070,0
prefix-heavy,16,16384,delta,1,264,4313787,769394,13700,926968,120000,29.18,82.72,500,528,0
prefix-heavy,16,16384,legacy,2,535,8775870,1163897,27784,1335539,120000,17.79,71.03,84,1070,0
prefix-heavy,16,16384,delta,2,264,4313787,769394,13700,926968,120000,29.95,114.33,541,528,0
prefix-heavy,16,16384,legacy,3,535,8775870,1163897,27784,1335539,120000,17.88,68.22,84,1070,0
prefix-heavy,16,16384,delta,3,264,4313787,769394,13700,926968,120000,29.46,92.53,541,528,0
prefix-heavy,16,16384,legacy,4,535,8775870,1163897,27784,1335539,120000,18.40,65.05,84,1070,0
prefix-heavy,16,16384,delta,4,264,4313787,769394,13700,926968,120000,32.63,85.79,542,528,0
prefix-heavy,16,65536,legacy,0,134,8774078,1129455,7001,1280314,120000,24.88,62.82,83,268,0
prefix-heavy,16,65536,delta,0,66,4305504,746525,3479,893878,120000,29.21,82.79,500,132,0
prefix-heavy,16,65536,legacy,1,134,8774078,1129455,7001,1280314,120000,14.50,59.61,83,268,0
prefix-heavy,16,65536,delta,1,66,4305504,746525,3479,893878,120000,30.58,89.81,541,132,0
prefix-heavy,16,65536,legacy,2,134,8774078,1129455,7001,1280314,120000,15.01,59.09,83,268,0
