config,engine,phase,run,ops
k16_v1024,fjall,Delete,2,1929918
k16_v1024,surrealkv,Put,1,891055
k16_v1024,surrealkv,Get,1,126275
k16_v1024,surrealkv,Forward,1,1377678
k16_v1024,surrealkv,Backward,1,976415
k16_v1024,surrealkv,Delete,1,5638101
k16_v1024,surrealkv,Put,2,886920
k16_v1024,surrealkv,Get,2,117735
k16_v1024,surrealkv,Forward,2,1310205
k16_v1024,surrealkv,Backward,2,987848
k16_v1024,surrealkv,Delete,2,5129113
k16_v1024,wavesdb,Put,1,1301359
k16_v1024,wavesdb,Get,1,1178389
k16_v1024,wavesdb,Forward,1,146706
k16_v1024,wavesdb,Backward,1,153067
k16_v1024,wavesdb,Delete,1,9676686
k16_v1024,wavesdb,Put,2,1546314
k16_v1024,wavesdb,Get,2,995289
k16_v1024,wavesdb,Forward,2,142649
k16_v1024,wavesdb,Backward,2,138270
k16_v1024,wavesdb,Delete,2,8654112
k16_v1024,badger,Put,1,701208
k16_v1024,badger,Get,1,625449
k16_v1024,badger,Forward,1,1005140
k16_v1024,badger,Backward,1,1020010
k16_v1024,badger,Delete,1,1227124
k16_v1024,badger,Put,2,738010
k16_v1024,badger,Get,2,603695
k16_v1024,badger,Forward,2,950436
k16_v1024,badger,Backward,2,978483
k16_v1024,badger,Delete,2,1245666
k16_v1024,wildcat,Put,1,22074
k16_v1024,wildcat,Get,1,5234
k16_v1024,wildcat,Forward,1,24746
k16_v1024,wildcat,Backward,1,33135
k16_v1024,wildcat,Delete,1,76366
k16_v1024,wildcat,Put,2,21816
k16_v1024,wildcat,Get,2,5524
k16_v1024,wildcat,Forward,2,21074
k16_v1024,wildcat,Backward,2,33512
k16_v1024,wildcat,Delete,2,75909
k16_v1024,rocksdb,Put,1,948337
k16_v1024,rocksdb,Get,1,1693519
k16_v1024,rocksdb,Forward,1,640464
k16_v1024,rocksdb,Backward,1,578169
k16_v1024,rocksdb,Delete,1,5698336
k16_v1024,rocksdb,Put,2,923439
k16_v1024,rocksdb,Get,2,1705034
k16_v1024,rocksdb,Forward,2,641463
k16_v1024,rocksdb,Backward,2,588078
k16_v1024,rocksdb,Delete,2,6209535
k16_v4096,tidesdb,Put,1,1147231.82
k16_v4096,tidesdb,Get,1,473918.66
k16_v4096,tidesdb,Forward,1,64059.42
k16_v4096,tidesdb,Backward,1,74869.90
k16_v4096,tidesdb,Delete,1,1055180.59
k16_v4096,tidesdb,Put,2,1026377.78
k16_v4096,tidesdb,Get,2,561608.78
k16_v4096,tidesdb,Forward,2,77110.32
k16_v4096,tidesdb,Backward,2,76653.97
k16_v4096,tidesdb,Delete,2,1147221.11
k16_v4096,ondadb,Put,1,474299
k16_v4096,ondadb,Get,1,1051123
k16_v4096,ondadb,Forward,1,301250
k16_v4096,ondadb,Backward,1,299594
k16_v4096,ondadb,Delete,1,9727888
k16_v4096,ondadb,Put,2,454251
k16_v4096,ondadb,Get,2,1371337
k16_v4096,ondadb,Forward,2,311758
k16_v4096,ondadb,Backward,2,316665
k16_v4096,ondadb,Delete,2,8212147
k16_v4096,fjall,Put,1,507286
k16_v4096,fjall,Get,1,2449421
k16_v4096,fjall,Forward,1,145946
k16_v4096,fjall,Backward,1,215736
k16_v4096,fjall,Delete,1,2288737
k16_v4096,fjall,Put,2,676750
k16_v4096,fjall,Get,2,2407544
k16_v4096,fjall,Forward,2,146686
k16_v4096,fjall,Backward,2,214643
k16_v4096,fjall,Delete,2,2280791
k16_v4096,surrealkv,Put,1,291163
k16_v4096,surrealkv,Get,1,116293
k16_v4096,surrealkv,Forward,1,336801
k16_v4096,surrealkv,Backward,1,312991
k16_v4096,surrealkv,Delete,1,4324091
k16_v4096,surrealkv,Put,2,297883
k16_v4096,surrealkv,Get,2,126139
k16_v4096,surrealkv,Forward,2,347954
k16_v4096,surrealkv,Backward,2,318341
k16_v4096,surrealkv,Delete,2,4154381
k16_v4096,wavesdb,Put,1,444353
k16_v4096,wavesdb,Get,1,817095
k16_v4096,wavesdb,Forward,1,94171
k16_v4096,wavesdb,Backward,1,90359
k16_v4096,wavesdb,Delete,1,7478266
k16_v4096,wavesdb,Put,2,464754
k16_v4096,wavesdb,Get,2,743171
k16_v4096,wavesdb,Forward,2,101454
k16_v4096,wavesdb,Backward,2,101081
k16_v4096,wavesdb,Delete,2,7509231
k16_v4096,badger,Put,1,331463
k16_v4096,badger,Get,1,344917
k16_v4096,badger,Forward,1,373815
k16_v4096,badger,Backward,1,435136
k16_v4096,badger,Delete,1,1608870
k16_v4096,badger,Put,2,335374
k16_v4096,badger,Get,2,309408
k16_v4096,badger,Forward,2,318702
k16_v4096,badger,Backward,2,369318
k16_v4096,badger,Delete,2,1529845
k16_v4096,wildcat,Put,1,8680
k16_v4096,wildcat,Get,1,1956
k16_v4096,wildcat,Forward,1,4043
k16_v4096,wildcat,Backward,1,3985
k16_v4096,wildcat,Delete,1,97163
k16_v4096,wildcat,Put,2,8642
k16_v4096,wildcat,Get,2,1871
k16_v4096,wildcat,Forward,2,4143
k16_v4096,wildcat,Backward,2,4073
k16_v4096,wildcat,Delete,2,92585
k16_v4096,rocksdb,Put,1,538128
k16_v4096,rocksdb,Get,1,903378
k16_v4096,rocksdb,Forward,1,197021
k16_v4096,rocksdb,Backward,1,269403
k16_v4096,rocksdb,Delete,1,6829306
k16_v4096,rocksdb,Put,2,503284
k16_v4096,rocksdb,Get,2,754870
k16_v4096,rocksdb,Forward,2,194607
k16_v4096,rocksdb,Backward,2,264514
k16_v4096,rocksdb,Delete,2,5429210
k16_v16384,tidesdb,Put,1,147183.27
