config,engine,phase,run,ops
k16_v16384,badger,Get,1,78376
k16_v16384,badger,Forward,1,235846
k16_v16384,badger,Backward,1,247752
k16_v16384,badger,Delete,1,1230688
k16_v16384,badger,Put,2,45639
k16_v16384,badger,Get,2,68678
k16_v16384,badger,Forward,2,257266
k16_v16384,badger,Backward,2,293888
k16_v16384,badger,Delete,2,1100886
k16_v16384,rocksdb,Put,1,35377
k16_v16384,rocksdb,Get,1,97675
k16_v16384,rocksdb,Forward,1,230352
k16_v16384,rocksdb,Backward,1,273927
k16_v16384,rocksdb,Delete,1,3930877
k16_v16384,rocksdb,Put,2,34999
k16_v16384,rocksdb,Get,2,78009
k16_v16384,rocksdb,Forward,2,232629
k16_v16384,rocksdb,Backward,2,303379
k16_v16384,rocksdb,Delete,2,4436141
k1024_v256,tidesdb,Put,1,769910.34
k1024_v256,tidesdb,Get,1,1394557.05
k1024_v256,tidesdb,Forward,1,5508584.75
k1024_v256,tidesdb,Backward,1,2122602.40
k1024_v256,tidesdb,Delete,1,170414.45
k1024_v256,tidesdb,Put,2,772249.30
k1024_v256,tidesdb,Get,2,1290975.99
k1024_v256,tidesdb,Forward,2,5538727.82
k1024_v256,tidesdb,Backward,2,2133377.78
k1024_v256,tidesdb,Delete,2,149310.17
k1024_v256,ondadb,Put,1,175363
k1024_v256,ondadb,Get,1,1713742
k1024_v256,ondadb,Forward,1,1308415
k1024_v256,ondadb,Backward,1,1210945
k1024_v256,ondadb,Delete,1,206542
k1024_v256,ondadb,Put,2,181720
k1024_v256,ondadb,Get,2,1833146
k1024_v256,ondadb,Forward,2,1315784
k1024_v256,ondadb,Backward,2,975522
k1024_v256,ondadb,Delete,2,223006
k1024_v256,fjall,Put,1,119652
k1024_v256,fjall,Get,1,1532
k1024_v256,fjall,Forward,1,734413
k1024_v256,fjall,Backward,1,557539
k1024_v256,fjall,Delete,1,189534
k1024_v256,fjall,Put,2,140013
k1024_v256,fjall,Get,2,1485
k1024_v256,fjall,Forward,2,731062
k1024_v256,fjall,Backward,2,598744
k1024_v256,fjall,Delete,2,186673
k1024_v256,surrealkv,Put,1,246249
k1024_v256,surrealkv,Get,1,14614
k1024_v256,surrealkv,Forward,1,108717
k1024_v256,surrealkv,Backward,1,103357
k1024_v256,surrealkv,Delete,1,281948
k1024_v256,surrealkv,Put,2,223397
k1024_v256,surrealkv,Get,2,15465
k1024_v256,surrealkv,Forward,2,104491
k1024_v256,surrealkv,Backward,2,114964
k1024_v256,surrealkv,Delete,2,236561
k1024_v256,wavesdb,Put,1,397183
k1024_v256,wavesdb,Get,1,600443
k1024_v256,wavesdb,Forward,1,1254387
k1024_v256,wavesdb,Backward,1,1215015
k1024_v256,wavesdb,Delete,1,459422
k1024_v256,wavesdb,Put,2,410393
k1024_v256,wavesdb,Get,2,620691
k1024_v256,wavesdb,Forward,2,1316162
k1024_v256,wavesdb,Backward,2,1421003
k1024_v256,wavesdb,Delete,2,425549
k1024_v256,badger,Put,1,362889
k1024_v256,badger,Get,1,501338
k1024_v256,badger,Forward,1,885499
k1024_v256,badger,Backward,1,1095235
k1024_v256,badger,Delete,1,383809
k1024_v256,badger,Put,2,337411
k1024_v256,badger,Get,2,501262
k1024_v256,badger,Forward,2,940277
k1024_v256,badger,Backward,2,1022624
k1024_v256,badger,Delete,2,396203
k1024_v256,rocksdb,Put,1,208893
k1024_v256,rocksdb,Get,1,696799
k1024_v256,rocksdb,Forward,1,870637
k1024_v256,rocksdb,Backward,1,422719
k1024_v256,rocksdb,Delete,1,245948
k1024_v256,rocksdb,Put,2,214893
k1024_v256,rocksdb,Get,2,779407
k1024_v256,rocksdb,Forward,2,864992
k1024_v256,rocksdb,Backward,2,427003
k1024_v256,rocksdb,Delete,2,287327
k2048_v256,tidesdb,Put,1,321547.70
k2048_v256,tidesdb,Get,1,776657.79
k2048_v256,tidesdb,Forward,1,2900480.11
k2048_v256,tidesdb,Backward,1,1278070.91
k2048_v256,tidesdb,Delete,1,71197.08
k2048_v256,tidesdb,Put,2,245518.66
k2048_v256,tidesdb,Get,2,763078.62
k2048_v256,tidesdb,Forward,2,2918085.58
k2048_v256,tidesdb,Backward,2,1271051.01
k2048_v256,tidesdb,Delete,2,73702.99
k2048_v256,ondadb,Put,1,95295
k2048_v256,ondadb,Get,1,1102297
k2048_v256,ondadb,Forward,1,723120
k2048_v256,ondadb,Backward,1,684763
k2048_v256,ondadb,Delete,1,158488
k2048_v256,ondadb,Put,2,96983
k2048_v256,ondadb,Get,2,1249366
k2048_v256,ondadb,Forward,2,718941
k2048_v256,ondadb,Backward,2,572153
k2048_v256,ondadb,Delete,2,92370
k2048_v256,fjall,Put,1,81232
k2048_v256,fjall,Get,1,28437
k2048_v256,fjall,Forward,1,654801
k2048_v256,fjall,Backward,1,602112
k2048_v256,fjall,Delete,1,74129
k2048_v256,fjall,Put,2,60109
k2048_v256,fjall,Get,2,812
k2048_v256,fjall,Forward,2,506946
